,Longitude,Latitude,S_vel_5km,S_vel_10km,S_vel_15km,S_vel_20km,S_vel_25km,S_vel_30km,S_vel_35km,S_vel_40km
204,-73.5,8.5,3.06011,3.29453,3.53129,3.72226,3.94619,3.94619,3.96082,4.13692
205,-73.0,8.5,3.06011,3.11238,3.33157,3.67831,3.87637,3.87637,3.91514,3.95429
206,-72.5,8.5,2.99981,3.02063,3.23551,3.4791,3.59775,3.59775,3.65172,3.90261
207,-72.0,8.5,2.99981,3.02063,3.23551,3.46171,3.54432,3.54432,3.67152,3.87752
208,-71.5,8.5,2.99213,3.22253,3.26109,3.2937,3.68824,3.68824,3.72512,3.76237
209,-71.0,8.5,3.04632,3.37003,3.39349,3.41667,3.72263,3.72263,3.92161,3.99242
210,-81.0,8.0,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
211,-80.5,8.0,3.16109,3.28336,3.30004,3.68544,4.1213,4.1213,4.16252,4.20415
212,-80.0,8.0,3.29081,3.45084,3.46838,3.76988,4.1213,4.1213,4.16252,4.20415
213,-79.5,8.0,3.38691,3.48616,3.68375,3.93287,4.1213,4.1213,4.16252,4.20415
214,-79.0,8.0,3.31365,3.40454,3.70677,3.95064,4.20415,4.20415,4.24619,4.28865
215,-78.5,8.0,3.24836,3.3545,3.65078,3.89224,4.0805,4.0805,4.14201,4.24661
216,-78.0,8.0,3.20274,3.42193,3.52662,3.72905,4.06688,4.06688,4.20415,4.31083
217,-77.5,8.0,3.16867,3.35696,3.52662,3.56121,4.09133,4.09133,4.33153,4.37485
218,-77.0,8.0,2.99981,3.11373,3.22879,3.36831,3.87862,3.87862,4.14306,4.33153
219,-76.5,8.0,2.58414,2.70884,2.86625,3.19737,3.49273,3.49273,3.77695,4.0805
220,-76.0,8.0,2.42214,2.57951,2.86965,3.12556,3.25774,3.25774,3.65942,4.0805
221,-75.5,8.0,2.74312,2.98249,3.21289,3.25085,3.43616,3.43616,3.77339,4.13692
222,-75.0,8.0,3.13274,3.4554,3.53129,3.57322,3.64424,3.64424,3.8094,4.13692
223,-74.5,8.0,3.1762,3.50863,3.63829,3.71178,3.8,3.8,3.838,3.97894
224,-74.0,8.0,3.0907,3.3099,3.53129,3.72226,3.94619,3.94619,3.96082,4.13692
225,-73.5,8.0,2.94099,3.18074,3.48048,3.63865,3.82059,3.82059,4.03496,4.15599
226,-73.0,8.0,3.06011,3.17632,3.41308,3.65802,3.85728,3.85728,3.91514,3.95429
227,-72.5,8.0,3.15282,3.19062,3.38079,3.58453,3.65172,3.65172,3.80225,3.95429
228,-72.0,8.0,3.10854,3.28769,3.35989,3.39349,3.68824,3.68824,3.72512,3.76237
229,-71.5,8.0,3.09057,3.40373,3.42743,3.46171,3.65534,3.65534,3.838,3.87637
230,-71.0,8.0,3.08012,3.43776,3.46171,3.49633,3.7646,3.7646,3.91514,3.95429
231,-81.0,7.5,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
232,-80.5,7.5,3.14602,3.28336,3.30004,3.68544,4.1213,4.1213,4.16252,4.20415
233,-80.0,7.5,3.27256,3.38284,3.40004,3.7356,4.1213,4.1213,4.16252,4.20415
234,-79.5,7.5,3.32747,3.5554,3.57347,3.82259,4.1213,4.1213,4.16252,4.20415
235,-79.0,7.5,3.27092,3.402,3.59187,3.85862,4.1213,4.1213,4.16252,4.20415
236,-78.5,7.5,3.13271,3.38364,3.48578,3.78728,4.1213,4.1213,4.16252,4.20415
237,-78.0,7.5,3.04503,3.28767,3.57722,3.66509,4.0805,4.0805,4.1213,4.16252
238,-77.5,7.5,3.00278,3.35337,3.39979,3.65573,4.0805,4.0805,4.1213,4.16252
239,-77.0,7.5,2.94099,3.16403,3.39383,3.45084,3.61657,3.61657,3.86818,4.14201
240,-76.5,7.5,2.81203,2.97913,3.24743,3.38284,3.42392,3.42392,3.74253,4.0805
241,-76.0,7.5,2.75045,2.97595,3.13694,3.31642,3.39002,3.39002,3.72558,4.0805
242,-75.5,7.5,2.96344,3.33666,3.35989,3.39349,3.45737,3.45737,3.75273,4.11938
243,-75.0,7.5,3.33426,3.50687,3.53129,3.70297,3.90712,3.90712,3.92161,4.1173
244,-74.5,7.5,3.26469,3.40545,3.53129,3.72226,3.94619,3.94619,3.96082,4.13692
245,-74.0,7.5,2.97011,3.18074,3.5165,3.69313,3.89874,3.89874,4.09458,4.15599
246,-73.5,7.5,2.91159,3.13462,3.44602,3.69588,3.87637,3.87637,3.91514,3.95429
247,-73.0,7.5,3.04503,3.22597,3.46273,3.67685,3.85728,3.85728,3.91514,3.95429
248,-72.5,7.5,3.16867,3.35696,3.53129,3.5666,3.68933,3.68933,3.85785,3.95429
249,-72.0,7.5,3.12148,3.43776,3.46171,3.49633,3.59775,3.59775,3.72623,3.89643
250,-71.5,7.5,3.08377,3.47215,3.49633,3.53129,3.59775,3.59775,3.74532,3.89585
251,-71.0,7.5,3.06465,3.33834,3.46171,3.49633,3.80112,3.80112,3.91514,3.95429
252,-81.0,7.0,3.1001,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
253,-80.5,7.0,3.14487,3.25085,3.26737,3.66905,4.1213,4.1213,4.16252,4.20415
254,-80.0,7.0,3.24016,3.34935,3.36637,3.71871,4.1213,4.1213,4.16252,4.20415
255,-79.5,7.0,3.34878,3.47121,3.49445,3.78602,4.1213,4.1213,4.16252,4.20415
256,-79.0,7.0,3.24005,3.47121,3.49445,3.78602,4.1213,4.1213,4.16252,4.20415
257,-78.5,7.0,3.07679,3.40281,3.42559,3.75142,4.1213,4.1213,4.16252,4.20415
258,-78.0,7.0,2.91523,3.31619,3.33304,3.702,4.1213,4.1213,4.16252,4.20415
