Latitude,Longitude,Elevation (m),Surface Temperature (°C),Apparent Geothermal Gradient (°C/Km),Distance To Nearest Volcano (m),Number of Volcanoes Nearby,Moho Depth (m),Fault,Strike-slip Fault,Reverse or Thrust Fault,Lineament,Right-lateral Fault,Normal Fault,Active Fault
6.842322,-73.798156,109.728,27.65136,16.826564718528058,184661.4623072225,1,43255.47441597957,28692.89866224516,42800.17329976386,3602.336413176162,126299.94088698656,42253.09533003806,25664.24559040509,27968.852952148776
7.300628,-73.520375,137.7696,27.511152,20.24844931895515,242953.9090820967,1,41202.53589037502,4802.189523904277,13545.156452024536,3197.727681623608,122159.28577255234,48848.42709192626,69827.72535989566,36555.48520156936
7.292394,-73.516175,130.7592,27.546204,16.764532469693684,242568.3615964338,1,41252.53510172079,3837.585153310304,13011.782739741417,2319.7278133368377,122990.3305610446,49569.267288566974,69642.57630645492,35535.15770650033
6.657322,-73.670289,158.8008,27.405996,16.705740755862116,181387.17831505628,1,44206.77009851918,19623.500763217267,19155.51098795758,3154.155209643497,110033.7073254228,20156.55341193895,47836.55492869129,6138.385212417578
7.291056,-73.516892,157.5816,27.412092,20.31785659031649,242404.3342294612,1,41255.279187302585,3802.7919078946,12844.679061932722,2161.1338400816944,122988.70930086685,49540.79890527088,69490.30316975305,35431.72861766192
7.293717,-73.510108,176.17440000000002,27.319128,19.020636728380065,243120.1990612533,1,41267.464564662136,3475.4294217511115,13511.641692005784,2654.5233926237865,123517.38778257096,50160.70517318638,70266.21760806364,35406.23670645468
7.302775,-73.508761,140.208,27.49896,21.76254533822444,243975.53840523423,1,41238.9033323487,4221.2353856406,14421.105041122437,3641.730686126918,123192.9165416345,50004.497735819794,70988.75619229875,36277.60644950136
5.0850615,-71.9523027,168.55440000000002,27.357228,26.251826380005,338832.10973764944,1,37730.26436677192,72893.336766713,109253.04269149672,52973.60160224683,163297.78579549605,95311.81099776908,78141.95669638764,51952.22368999984
3.159247,-75.266758,121.3104,27.593448,21.906620347243983,88550.15707215252,1,45118.59988694899,10562.561235259343,31610.86372283233,11036.197975743678,24028.78942100608,31701.285057516547,161895.71327088503,13076.832780047353
3.215886,-75.253092,405.9936,26.170032,22.52314476554748,92027.99008010417,1,45064.28996366983,9425.308913934476,32504.763028842783,8570.717388064117,30471.177827527416,34686.14400770414,159847.33885866194,8576.989314403714
3.235311,-75.242836,388.62,26.2569,24.49946742482734,93868.92820428449,1,45041.26128629819,7407.301258942109,32567.01874215244,9119.772435509652,32815.86924871634,35516.84566375625,159721.47693332683,7199.253950135104
0.750669,-76.367114,289.2552,26.753724,28.775129341391235,51666.70219118016,1,36109.28960619088,35263.10436056037,81630.51019665593,35838.48341504801,94375.1066254247,58590.25962932572,307644.78664951265,35275.010650827026
4.8598111,-72.1859,173.43120000000002,27.332844,24.04304133114428,319462.4335216922,1,37007.0031926573,66783.5303861735,97128.06031715668,51277.75680182151,145722.35739476405,79237.89400857796,103315.98805305336,46177.83621642398
5.092486,-74.585899,168.55440000000002,27.357228,37.92189426837668,69402.76255518734,2,43107.41662783435,7411.645795415258,40269.86336146555,9771.546134587625,30936.645789099184,22844.67524017649,145633.15661113095,9275.528431893306
0.472889,-76.29168,238.9632,27.005184,23.935624712025987,79045.42035197903,1,34377.68377452775,67087.13870520335,94996.55184152228,67647.12017127138,124258.17310645516,86560.62920032171,339166.96496484603,67065.74688334586
9.918889,-74.133734,76.8096,27.815952,9.490416323346125,483431.6485370664,1,38180.80891945162,26921.353646217376,20379.304484308763,14091.470690908973,134604.87308631558,34974.59524586615,302527.789647932,29252.36904751311
6.265939,-69.690706,96.012,27.71994,33.09477691649254,586778.3884257798,1,35450.43893201621,235393.9161804672,264502.6602115829,224822.2934988759,379228.3593340792,242323.99233539656,226759.16691019628,38225.51526190576
3.904858,-72.665992,202.692,27.18654,35.86521551608573,283840.38986338663,2,34815.66920157273,39947.796961310894,122862.47799118998,77802.75065905383,83541.09555363755,130523.29610173996,194709.4392847107,37651.73126725336
7.831394,-72.611031,526.9992,25.565004,23.39525343074912,355196.3115179422,1,40605.81615253688,2797.726623578342,66487.14572269663,7469.787028453863,192069.89852255964,1837.6790354230973,185736.68012216312,2114.347398327366
3.524027,-74.829854,548.3352,25.458324,19.20520167454084,104603.03177241403,2,46615.02409077297,3089.6676650561253,52236.46038834437,2917.9768852245,80275.2176068247,35436.28963444083,189988.5285682972,40574.47961425604
3.048417,-75.167933,168.55440000000002,27.357228,19.27383695048816,96569.6457779827,1,44871.12503328381,9428.270893798765,19756.158870909487,6438.474649484519,19397.900004216444,15966.053125938965,175767.67648585537,23619.06943532368
3.052383,-75.169686,165.8112,27.370944,19.96149978615699,96441.20726181372,1,44878.77761854246,9272.264137120048,19872.848415736305,6735.717700630984,19500.321235614545,16324.771220879858,175453.21100518038,23866.54398637567
2.083256,-75.745417,370.9416,26.345292,20.272975048094768,34454.90363805707,3,44409.27371813385,1655.6699658548416,113693.30370973666,2872.358278022539,75179.56172803631,7045.937671608752,189253.00355809936,6691.169950659886
