Latitude,Longitude,Predicted Geothermal Gradient (°C/Km)
7.028808,-73.9281,20.009752
7.054856,-73.902761,23.368095
7.070022,-73.908169,24.471853
7.080147,-73.906367,21.973188
7.034053,-73.9263,20.307924
7.066564,-73.906283,22.20276
7.070028,-73.901842,26.942003
7.076528,-73.900039,20.899086
7.072928,-73.898192,21.245113
7.082439,-73.902517,20.046303
7.066583,-73.906369,22.065405
7.021853,-73.927539,21.07483
7.074269,-73.896336,20.492807
7.080067,-73.903356,22.081125
7.063933,-73.907231,21.95599
7.057764,-73.9063,21.65753
7.021814,-73.927461,21.499437
7.075889,-73.89705,20.068249
7.065681,-73.903653,22.136879
7.054833,-73.916236,21.96247
7.064747,-73.909908,22.890032
7.026817,-73.922586,20.025768
7.053103,-73.919922,24.655655
7.029633,-73.931239,19.756216
7.062931,-73.913622,22.74768
7.052136,-73.917233,21.501455
7.017656,-73.939669,23.969606
7.029544,-73.931236,25.9941
7.062978,-73.913694,22.74768
7.049422,-73.922664,23.43881
7.08395,-73.908172,18.907457
7.058433,-73.918064,22.714325
7.06745,-73.91545,22.104406
7.0765,-73.909003,21.048923
7.073828,-73.909964,21.884138
7.048428,-73.915456,20.783316
7.046869,-73.910022,21.907026
7.081053,-73.904536,20.476507
7.074108,-73.901061,21.230852
7.067453,-73.909011,21.973387
7.08105,-73.904619,20.476507
7.032242,-73.925386,21.684118
7.067489,-73.900047,22.175293
7.067497,-73.909086,22.370333
7.025086,-73.935361,24.584858
7.078456,-73.905506,21.686623
7.025919,-73.928931,20.629921
7.078417,-73.905433,22.254154
7.042689,-73.926133,22.50264
7.073011,-73.907225,22.684431
7.041278,-73.920772,20.147242
7.031342,-73.927111,24.116669
7.031336,-73.927197,39.359673
7.073058,-73.907297,23.783682
7.024486,-73.932558,34.087673
7.024472,-73.932642,34.320152
7.034975,-73.928931,22.371344
7.061086,-73.917269,21.78796
7.0612,-73.899117,21.405428
7.070206,-73.899133,22.64288
7.027744,-73.934339,21.848694
7.079428,-73.908267,20.520597
7.063839,-73.916278,22.936733
7.069244,-73.905383,22.452942
7.048531,-73.906378,21.220932
7.048511,-73.915431,20.783316
7.055522,-73.901092,22.660725
7.036681,-73.925394,19.129627
7.014219,-73.930247,23.13001
7.070992,-73.91095,21.864925
7.040364,-73.927028,23.03091
7.072011,-73.909083,24.10778
7.0458,-73.907286,23.307001
7.058453,-73.900042,22.362371
7.026778,-73.913639,22.08187
7.036792,-73.916283,22.254234
7.042142,-73.928119,22.332102
7.023219,-73.92085,21.18992
7.050225,-73.920886,20.82375
7.038519,-73.930806,21.335245
7.050311,-73.920861,23.717646
7.016883,-73.919961,20.018963
7.032808,-73.932511,20.631956
7.028622,-73.919056,21.464067
7.032247,-73.929836,19.81647
7.036714,-73.911736,23.032822
7.032247,-73.929922,22.130135
7.018575,-73.925572,22.825436
7.023478,-73.929792,21.149878
7.047625,-73.921889,23.331215
7.016847,-73.928989,22.182562
7.015006,-73.932775,23.009521
7.015656,-73.934947,22.598455
7.060192,-73.91455,21.776144
7.056569,-73.912747,23.296246
7.042244,-73.914492,22.57846
7.074717,-73.903614,21.409338
7.034236,-73.917422,21.736248
7.053125,-73.901847,24.41785
7.051239,-73.914461,22.305553
7.025911,-73.919961,22.614815
7.044867,-73.922656,21.265678
7.043997,-73.919947,19.677177
7.039464,-73.915442,22.661953
7.037711,-73.919056,21.082373
7.021419,-73.933633,21.19752
7.050322,-73.902761,21.82219
7.025033,-73.926283,20.7475
7.029522,-73.935339,22.00613
7.025036,-73.926297,20.899601
7.040369,-73.913661,22.981106
7.046683,-73.919083,23.002789
7.021386,-73.924497,20.469395
7.059283,-73.911953,23.080795
7.05845,-73.909111,21.385406
7.072033,-73.904561,20.296778
7.022039,-73.936556,26.08839
7.037614,-73.918944,22.25375
7.077444,-73.902744,21.626066
7.044139,-73.924561,20.802364
7.041522,-73.925233,19.24454
7.048453,-73.9198,19.379265
7.050939,-73.918939,21.113354
7.085442,-73.906264,20.289783
7.082014,-73.901675,19.665947
7.063678,-73.911686,22.602055
7.061433,-73.912714,22.294937
7.063183,-73.909003,22.640541
7.045831,-73.920583,19.076132
7.038086,-73.929094,20.455948
7.056858,-73.917,21.923506
7.059522,-73.916094,21.973593
7.055956,-73.914258,20.503313
7.064672,-73.914219,22.743929
7.066289,-73.910728,22.208778
7.026819,-73.91815,21.549637
7.067569,-73.913383,22.30827
7.069414,-73.910089,22.675909
7.070253,-73.912389,21.70085
7.065525,-73.908447,21.186735
7.057503,-73.920247,21.527718
7.053536,-73.918169,22.333128
7.054661,-73.920906,23.099825
7.052847,-73.915306,21.53723
7.074728,-73.912625,21.240992
7.050092,-73.916306,21.129889
7.077575,-73.907422,20.820465
7.039292,-73.920033,21.304783
7.033231,-73.928322,20.293287
7.042392,-73.928047,23.47325
7.074181,-73.905225,21.667856
7.076844,-73.904639,22.443758
7.068136,-73.907367,22.353727
7.058264,-73.913811,22.388432
7.078147,-73.900808,19.641386
7.074942,-73.908111,21.935745
7.080256,-73.906533,21.60456
7.041486,-73.929125,20.154472
7.028225,-73.931089,20.841234
7.029189,-73.929375,21.39325
7.027272,-73.928272,20.652763
7.026381,-73.930156,21.271072
7.021042,-73.932353,21.311037
7.022131,-73.930292,19.6875
7.020072,-73.929625,20.85401
7.019231,-73.931269,21.936884
7.058594,-73.907536,21.915356
7.064236,-73.910031,23.373753
7.057658,-73.904942,21.921207
7.056833,-73.906794,21.820984
7.064228,-73.910039,22.048725
7.05665,-73.903775,21.2487
7.021656,-73.929292,22.137608
7.026783,-73.931692,21.081038
7.046897,-73.920297,20.465643
7.075678,-73.905239,22.607882
7.057258,-73.909483,21.590378
7.057244,-73.909442,21.67146
7.055497,-73.908244,21.094019
7.058947,-73.9103,22.142418
7.058933,-73.910261,22.142418
7.060053,-73.908814,21.919058
7.060094,-73.908806,21.919058
7.060958,-73.906642,21.024765
7.054433,-73.905822,21.54877
7.055856,-73.904153,21.373108
7.051875,-73.906731,21.417833
7.053606,-73.90765,21.388191
7.051017,-73.908633,21.546967
7.049242,-73.907353,21.563654
7.048314,-73.909372,22.181725
7.050072,-73.910081,34.378784
7.049353,-73.912058,22.448723
7.058522,-73.907531,21.682875
7.056856,-73.906714,21.307602
7.057622,-73.904992,21.765738
7.054644,-73.905944,21.54877
7.055661,-73.904044,21.412155
7.05365,-73.907642,21.487925
7.051019,-73.908592,21.506613
7.049247,-73.9074,21.563654
7.050086,-73.910119,28.000994
7.051097,-73.9131,23.943438
7.050128,-73.914797,22.458916
7.052728,-73.914286,22.808153
7.053567,-73.91205,22.43655
7.054611,-73.910331,22.234009
7.050364,-73.917139,22.850515
7.056536,-73.911072,21.670492
7.058039,-73.912319,23.16129
7.057967,-73.912358,23.021917
7.054561,-73.914694,21.410627
7.054558,-73.91465,21.410627
7.056103,-73.915867,22.930576
7.056086,-73.915769,22.930576
7.057703,-73.916967,23.120245
7.05775,-73.916956,23.012342
7.058858,-73.915008,23.050148
7.058881,-73.91505,23.050148
7.058847,-73.914917,23.050148
7.058861,-73.914961,23.050148
7.060992,-73.915858,22.616175
7.061036,-73.915931,22.616175
7.061717,-73.914206,22.74768
7.061661,-73.914278,22.74768
7.061689,-73.914242,22.74768
7.059928,-73.912797,22.811228
7.059844,-73.912847,22.820251
7.059983,-73.912739,22.811228
7.060756,-73.911667,23.066826
7.060969,-73.911511,23.066826
7.060831,-73.9115,23.066826
7.060886,-73.911511,23.066826
7.061644,-73.909269,23.379494
