,Latitude,Longitude,Elevation (m),Surface Temperature (°C),Apparent Geothermal Gradient (°C/Km),Moho Depth (m),Magnetic Anomaly (nT),Fault,Strike-slip Fault,Reverse or Thrust Fault,Lineament,Right-lateral Fault,Normal Fault,Active Fault,Curie Depth (Km),Vertical Gravity Gradient (E),Free Air Anomaly (mGal),Bouguer Anomaly (mGal),Nearest Basement,Nearest Volcano,Volcanic domain,Volcanic weight,Gradient Weight,sample_weight
3347,9.0146,-74.690439,16.154400000000003,28.119228,20.74727883729386,37097.77103943225,-6.5597,64760.57604816862,68102.13867715845,50910.79242406323,79140.64670696214,67823.63734705781,243923.4292026825,66520.03933057014,22.0,2.25,-42.30002,-49.63141031492913,36462.961008352795,373427.8333156348,False,8,0.025810397464672823,0.2064831797173826
3348,9.007342,-74.671533,17.0688,28.114656,20.02335200739396,37100.08036137085,-14.8772,63257.02256765643,66673.73181571544,48768.214206707446,77210.67669902227,65757.701322813,242532.44087765,64872.99418461476,22.0,0.75,-42.30002,-46.79448778186028,34249.096785381975,372799.42370066035,False,8,0.02,0.16
3349,9.254244,-74.433914,24.9936,28.075032,23.49923882370532,37514.237139294135,-38.469,65080.44001390447,74487.41849360426,58342.17901361112,90462.27835119,57057.93887268272,262934.5340496015,85713.30205114819,22.0,-9.34375,-42.30002,-43.80907767831409,41897.11338356301,402943.98554577,False,8,0.025460030083559126,0.203680240668473
3350,3.239333,-75.276606,418.7952,26.106024,24.52944229742031,45077.52102481462,-2.5241,7221.7481229447585,36033.58972595343,5575.797253770078,32614.634281579383,38367.45326227106,156268.03801097907,5209.778420583476,30.0,-102.15625,-124.975006,-168.43298916302214,7764.907147714171,90613.40917558405,False,8,0.030196779781810738,0.2415742382544859
3351,3.217831,-75.285519,417.576,26.11212,19.9845553981086,45120.59972931855,-1.9007,9794.284787502032,35837.15893760576,5134.895277014197,30148.131570687103,37423.06937990008,156666.10568198128,6887.573519438979,30.0,-89.8125,-124.975006,-166.4774464273043,6884.102205008882,88802.07806618043,False,8,0.02,0.16
3353,2.958343,-75.19047,635.508,25.02246,20.228584902420263,44765.96997320061,-6.433,10312.824136956397,25793.547832331504,4781.778413894606,13335.350248240977,14806.229045606482,176588.1614386467,14544.437088995024,32.0,-59.15625,-58.42502,-130.94162533170385,328.19004925182753,93289.58164262671,False,8,0.02,0.16
3354,2.965439,-75.181011,672.0,24.84,23.58009797452856,44754.85027435088,-6.433,11259.500753067026,24486.407735295485,4617.054865774922,14475.763066311523,13808.24456842495,177304.5154922165,15855.257245866089,32.0,-55.0,-58.42502,-125.3230564701006,98.76948132781612,94375.22293063742,False,8,0.025460030083559126,0.203680240668473
3355,2.951329,-75.190046,693.4200000000001,24.7329,23.324658954808868,44753.467924587785,-6.433,9549.58173649083,26170.91961822033,4229.63384806144,13327.759143594029,14751.172176208309,176903.73542479586,14100.56964124177,32.0,-59.15625,1.0249939,-130.94162533170385,873.0801312206346,93308.46875510737,False,8,0.025460030083559126,0.203680240668473
3356,2.941687,-75.198214,604.1136,25.179432,22.46503388591465,44760.89515462432,-6.433,8403.562681604595,27518.13716600263,4506.751075559531,12418.869689074643,15711.648050043636,176433.56548592538,12736.979502806918,32.0,-52.625,1.0249939,-125.81596827436124,1637.1063028899275,92372.15243882865,False,8,0.025810397464672823,0.2064831797173826
3357,2.946867,-75.194111,588.0,25.26,22.17611106420093,44757.30626022401,-6.433,9007.26167122986,26820.076570724817,4331.369198860547,12864.508286216398,15218.807507743615,176655.29459392003,13443.100857698366,32.0,-52.625,1.0249939,-125.81596827436124,1097.4476640663834,92842.02949845817,False,8,0.025810397464672823,0.2064831797173826
