OBJECTID,SimboloUC,N°CartaColores,Descripcion,Edad,UGIntegradas,Comentarios,GlobalID,Shape__Area,Shape__Length
24496,Q-Vi,,Andesitas porfiríticas,Cuaternario,,,ae545824-62c6-4df3-8f30-8ed83ba5cb6c,0.0259379625068021,1.11509127705762
24497,b1?b4-Sct,,"Cuarzoarenitas y arenitas feldespáticas de grano medio a conglomeráticas, y conglomerados.",Berriasiano?-Barremiano,Formación Río Negro,,abd69a38-021b-4785-b938-90c86e63d662,0.00882768602832584,0.743442269483981
24498,E3N1-Stm,,"Intercalaciones de arenitas localmente conglomeráticas, lodolitas y arcillolitas. Ocasionalmente, delgadas capas de carbón.",Oligoceno-Mioceno,Formación Caja,,d2a35f59-1f99-4f30-b769-d57e9df28a14,0.0106598904961857,0.931702232575575
24499,OS1-Pf,,Granitos con moscovita,Ordovícico-Llandovery,,,df167a7f-2616-4028-83e0-530ca63b6ac7,0.0104409397666245,0.594408826402204
24500,E1-Sc,,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas,Paleoceno,,,26a8ded0-2311-4118-ac28-eee892d41885,0.00116515377277437,0.456637460712081
24501,N2-p,,Tobas de cenizas y lapilli intercaladas con lavas de composición andesítica,Plioceno,,,c534c731-1533-493f-922b-d0875e46c979,0.141255206426308,8.72133482321584
24502,K1-VCm,,"Basaltos, y lodolitas negras intercaladas con limolitas, arenitas y conglomerados.",Cretácico Inferior,Complejo Básico Ultrabásico de Uré,,c7463408-b4aa-41c0-b9d2-98362125a4e7,0.0151115566405338,1.19997259301318
24503,J-Pi,,Granodioritas que varían de sienogranitos a tonalitas y de cuarzomonzonitas a cuarzomonzodioritas,Jurásico,Batolitos Pueblo Bello y Patillal,,21909c6b-6ff4-41e3-809f-84a32493067d,0.101377322809697,4.09994864832113
24504,e6e9-Sct,,"Arenitas de grano fino a conglomeráticas interestratificadas con arcillolitas y limolitas. Ocasionalmente, lentes de hierro oolítico y carbón.",Bartoniano-Chatiano,,,66719247-762e-42b1-823a-7f27e218474f,0.0181445668442279,1.63037889639858
24505,K1-Pm,,Gabros bandeados isotrópicos y dioritas,Cretácico Inferior,,,ed3b5ac2-a916-43c6-a244-99b4d371a516,0.008057678434227,0.710570181422278
24506,E1-Pi,,"Tonalitas a granodioritas con algunas variaciones a dioritas, aplitas y gabros.",Paleoceno,Batolito de Sonsón,,61ea6376-d5e8-4886-b21b-dc2c8068eb88,0.0521996637626785,1.72114190842894
24507,E1-Sc,,Conglomerados intercalados con arenitas de grano medio a grueso y lodolitas carbonosas,Paleoceno,,,f62aa161-c91b-41de-8d3c-164721510c93,0.00353166549760431,0.855139390755884
24508,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,0505fa82-2029-44ce-ac6b-60cac0caf051,0.00745382114618565,1.22209889075181
24509,T-Mbg3,,"Esquistos grafíticos, cuarzomoscovíticos, cloríticos y anfibólicos; filitas; cuarcitas; mármoles, y serpentinitas.",Triásico,,,565002d8-cbf9-4fec-aeab-03b5a34717d7,0.0358091334485096,3.22512070194805
24510,T-Mbg3,,"Esquistos grafíticos, cuarzomoscovíticos, cloríticos y anfibólicos; filitas; cuarcitas; mármoles, y serpentinitas.",Triásico,,,5bf55efb-16b4-402b-ae24-d4fade8017de,0.0183670316724829,1.36200210644219
24511,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,1f0c277b-3f63-41cb-b21a-b5cac04bcce2,0.00245411122244832,0.488175801617631
24512,K2-Vm7,,"Basaltos toleíticos, y doleritas, picritas, tobas básicas y brechas volcánicas.",Cretácico Superior,Formación Amaime,,6bb4e381-9fd4-455b-9075-81ffe52c5177,0.0930387947459508,2.82954269466791
24513,n6n7-St,,"Intercalaciones de conglomerados, arenitas líticas a sublíticas de grano medio a conglomeráticas, arenitas calcáreas y lodolitas.",Mesiniano-Zancleano,Formación Zambrano,,ad468478-1ae3-4638-a562-2b4055ddf105,0.122328332849577,4.73787833302552
24514,N2-Sc,,"Conglomerados, y arenitas líticas conglomeráticas intercaladas con arcillolitas, limolitas y turbas.",Plioceno,Formación Quibdó,,a6165461-c511-4be6-a9fc-0936e2d4963e,0.0363987038772393,1.92079795111073
24515,n6n7-St,,"Intercalaciones de conglomerados, arenitas líticas a sublíticas de grano medio a conglomeráticas, arenitas calcáreas y lodolitas.",Mesiniano-Zancleano,Formación Zambrano,,f5d4e63c-44b5-4177-9c3d-a262dc4bc383,0.0099634491293159,0.782357467707644
24516,Q-Vi,,Andesitas porfiríticas,Cuaternario,Formación Coconucos,,10924428-9427-4374-9fb0-151e76d4ae33,0.0402465787850446,2.11609016845168
24517,E1E2-VCm,,"Basaltos; brechas; aglomerados y tobas intercalados con cherts; limolitas; lodolitas calcáreas, y calizas.",Paleoceno-Eoceno,,,0208cb94-9d45-404c-b3b9-5b44ea85239c,0.0700909881366556,3.42924050649144
24518,K2-Vm7,,"Basaltos toleíticos, y doleritas, picritas, tobas básicas y brechas volcánicas.",Cretácico Superior,Formación Barroso,,e18f4038-bd26-438f-a935-f5321d765040,0.0555338714449647,3.93276511826279
24519,Q2-Vm,,Basaltos y andesitas basálticas,Holoceno,,,64eba161-3a7a-4d40-b0bf-6635303039d2,0.00941864296598283,0.534374866695392
24520,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,41c97e9e-ddce-450b-9ff2-0aa017b66344,0.0570520256133307,4.1295826789553
24521,E1E2-VCm,,"Basaltos; brechas; aglomerados y tobas intercalados con cherts; limolitas; lodolitas calcáreas, y calizas.",Paleoceno-Eoceno,Complejo Santa Cecilia-La Equis,,a10c8fc0-5299-42e7-bf12-bc6677b4e872,0.082605869964226,3.5892932567714
24522,Q-p,,Depósitos de ceniza y lapilli de composición andesítica,Cuaternario,,,39739c91-178f-43f5-8813-ec5bb87c0e1a,0.0229663510039018,3.25920393663437
24523,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,87f7d112-2ee8-4b32-9cf4-ffad59f2d4e0,0.093990606086777,2.79884875574216
24524,N1-Sc,,"Conglomerados y arenitas poco consolidados con matriz ferruginosa y arcillosa. También arcillolitas con intercalaciones de limolitas, lodolitas arenosas y arenitas.",Mioceno,,,ca1f68e1-6c07-4dc2-975b-3706b7a01df7,5.01220712953909,57.0270489606061
24525,E2-Pi,,Granodioritas que varían a cuarzodioritas y cuarzomonzonitas,Eoceno,Batolito de Mandé,,ddca2f9d-c998-433a-8c9c-030429cd724d,0.214673204296219,7.17493547121634
24526,n3n5-Sm,,"Arenitas líticas y feldespáticas de grano fino a grueso con glauconita, y shales calcáreos intercalados con lodolitas",Langhiano-Tortoniano,,,5abce198-d638-4988-b227-de99024735a2,0.00401359056911588,0.410400838254585
24527,e6e9-Sc,,"Intercalaciones de capas rojas de conglomerados, arenitas líticas conglomeráticas y arcillolitas.",Bartoniano-Chatiano,,,73046a9b-8a72-4445-b416-58fe3809b348,0.0120049530409432,0.703991283487279
24528,Q-t,,Terrazas aluviales,Cuaternario,,,db3bbea8-d4b4-47c0-94c8-7f275a797cdc,0.00815517280804556,1.2798936155291
24529,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,ef768bc9-5c68-494c-a1dd-8d6b56b11d45,0.00780237376596915,0.839505318624739
24530,T-Pf,,Ortogneises graníticos,Triásico,Gneis Tonalítico de Horizontes,,12ac8ff4-e79e-43b3-bc58-5f5e9d8c7eec,0.00803018440646497,1.37582160670089
24531,k6E1-Stm,,Arcillolitas rojizas con intercalaciones de cuarzoarenitas de grano fino. Mantos de carbón a la base.,Maastrichtiano-Paleoceno,Formación Guaduas,,ac9ff7e2-d445-40b3-949f-5f2dfa38c138,0.00389176135976754,0.824789984336219
24532,b1-Sct,,Cuarzoarenitas de grano fino a conglomeráticas con intercalaciones de lodolitas y conglomerados,Berriasiano,Formación Arcabuco,,44c4cb3c-18ce-4af0-abd2-c1fd31859876,0.0784110286247994,5.4883380316576
24533,n3n5-St,,"Lodolitas y shales calcáreos, con algunos niveles de arenitas",Langhiano-Tortoniano,Formación Guineales,,3995777f-c944-4ead-9d96-ebd0648d81bd,0.0168544872412895,1.57628707660517
24534,N2-VCc,,"Tobas intercaladas con aglomerados, brechas, conglomerados, lodolitas y arenitas.",Plioceno,Vulcanitas de Galeón,,3b763c9c-2d02-450c-af14-091ba6502d4a,0.000876481076687696,0.266771436493522
24535,n1?n5?-VCc,,"Conglomerados, arenitas de grano grueso y tobas dacíticas.",Aquitaniano?-Tortoniano?,Formación Irra-Tres Puertas,,28344be2-e8e3-4e22-ada1-0c70fa2e17c8,0.00491232553451937,0.648147271667719
24536,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,231765fe-0395-493b-8966-798652cd2cb7,0.0314736455584921,4.66319811413498
24537,n5n6-Sm,,Arenitas líticas de grano fino con concreciones calcáreas intercaladas con limolitas y arcillolitas,Tortoniano-Mesiniano,Formación Sierra,,2b57d888-d947-451b-9243-6c54453a7013,0.291515616393212,7.2624734971771
24538,E3N1-Sct,,"Lodolitas, arenitas líticas e intercalaciones de conglomerados ferruginosos. Presenta costras de yeso y capas de carbón.",Oligoceno-Mioceno,Grupo Orito,,bd05c6a3-e05d-48d2-8cf0-cf88dea66b36,0.173516716502462,6.43643753962527
24539,T-Mmg3,,"Gneises cuarzofeldespáticos algunos con sillimanita, cordierita y hornblenda; anfibolitas; migmatitas; esquistos, y mármoles.",Triásico,,,76bbb5f0-d3c7-40b8-ad27-2709e0e529ef,0.102117294967371,5.34518555990316
