OBJECTID,SimboloUC,N°CartaColores,Descripcion,Edad,UGIntegradas,Comentarios,GlobalID,Shape__Area,Shape__Length,Basement
22163,e8n2-Sm,,"Calizas, arenitas y lodolitas calcáreas.",Rupeliano-Burdigaliano,,,7358c50b-c30c-4269-bffb-8d5f9b157a14,0.0001937935019782,0.0642508320839396,no
22164,n6n7-St,,"Intercalaciones de conglomerados, arenitas líticas a sublíticas de grano medio a conglomeráticas, arenitas calcáreas y lodolitas.",Mesiniano-Zancleano,"Formación Corpa, Unidad Arenas Monas",,1f041889-e6fc-4cc3-94cc-293355639523,0.0011092335811895,0.175132752931995,no
22166,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,5910292f-71af-44de-9d06-8fcca2a82f12,0.0023105344469627,0.222846089590943,no
22167,n1n2-St,,"Arenitas líticas a sublíticas de grano medio interestratificadas con lodolitas; localmente turbas, carbón y lentes de conglomerados arenosos.",Aquitaniano-Burdigaliano,"Formación Floresanto, Unidad Pavo Inferior",,b9a71036-44c7-4e8c-9370-2df3863957d8,0.0014811105852459,0.208903859006967,no
22168,Q-t,,Terrazas aluviales,Cuaternario,,,83bd4777-4c31-4a55-a30f-e44630f80d9c,0.0003514874785537,0.112440867766272,no
22169,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,d7b7e2f7-bb1e-4010-b9a0-9b684007b403,0.0003278870765939,0.153503791961494,no
22170,e8n2-St,,Arenitas ferruginosas de grano fino a conglomeráticas intercaladas con shales calcáreos y carbón,Rupeliano-Burdigaliano,Formación Ciénaga de Oro,,58b9a401-be62-4510-9d5d-a0b2db1483ab,0.0534475613270047,2.80760524233576,no
22171,K2-Pf7,,Tonalitas que varían a cuarzodioritas,Cretácico Superior,Batolito de Sabanalarga,,23243eb1-0717-4ce5-bf65-78da5862185c,0.0010445831495928,0.191394320005635,yes
22172,T-Pf,,Ortogneises graníticos,Triásico,,,7c36b4c2-80fd-4e9d-a609-3b094568d84d,0.0007944550304728,0.188500544606828,yes
22174,k2k6-Sm7,,"Lodolitas; arenitas lodosas y arenitas líticas; cherts; calizas; tobas, y aglomerados. Localmente cataclasitas.",Turoniano-Maastrichtiano,"Grupo Cañasgordas, Liditas del Barroso",,8132598a-0f57-4811-8e97-77053cbe5aaa,0.0001788351957259,0.123252199865244,no
22175,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,2f989fec-2bf0-4dcf-95de-8280710e6808,0.0066845890487456,0.99253037748775,no
22176,k2k6-Sm7,,"Lodolitas; arenitas lodosas y arenitas líticas; cherts; calizas; tobas, y aglomerados. Localmente cataclasitas.",Turoniano-Maastrichtiano,Formación Cansona,,43266e2e-6a59-43d6-aca4-fd06bebd0c0d,0.000782590343249,0.154334352483255,no
22177,Q-t,,Terrazas aluviales,Cuaternario,,,3f3599bc-b6d9-457b-8dbd-6b657287591d,0.0008559608274083,0.131884513074401,no
22178,K1-Pu,,Peridotitas serpentinizadas intruidas por diques de rodingitas,Cretácico Inferior,,,aa4bf23f-ecb2-4247-9e77-27c955e0a0c7,9.01392332366413e-05,0.0422797319305118,yes
22180,Q-t,,Terrazas aluviales,Cuaternario,,,fc40224f-092b-45b3-b88c-b1829e03e151,0.0016275938839953,0.181025588196609,no
22181,Q-ca,,Abanicos aluviales y depósitos coluviales,Cuaternario,,,8f492c07-8257-470f-8dad-4cc8d8f47f8d,0.0001469205288344,0.053396679869972,no
22183,n5n6-Sm,,Arenitas líticas de grano fino con concreciones calcáreas intercaladas con limolitas y arcillolitas,Tortoniano-Mesiniano,Formación Sierra,,adecfab8-3ea2-4698-b960-8cd88809ea75,0.0030350302521355,0.241468927773728,no
22184,e8n2-Sm,,"Calizas, arenitas y lodolitas calcáreas.",Rupeliano-Burdigaliano,,,96ba6880-a2d5-489e-a570-f46f6da05c32,0.0180446648504926,1.20357279212241,no
22186,K1-Pu,,Peridotitas serpentinizadas intruidas por diques de rodingitas,Cretácico Inferior,,,8fcea932-8935-4a51-9fa7-8cf8f0d57244,0.000138063439806,0.0683203671218124,yes
22187,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,1d617c63-28af-420c-b780-ffc144e1d91f,0.0080295092237179,0.919935635390886,no
22188,K2-Pi,,"Granodioritas, tonalitas y cuarzodioritas.",Cretácico Superior,Batolito de Sabanalarga,,ad00b64a-41b2-4996-a01f-e6100cb1e634,0.001855747860759,0.526816537021358,yes
22190,C-Pi,,"Dioritas, granodioritas, cuarzodioritas y tonalitas.",Carbonífero,Stock de El Carmen,,131ed082-3813-4ac8-80f0-378843e308e7,0.005177205874304,0.355330870167091,yes
22192,n6n7-Sc,,"Arenitas líticas a sublíticas, arenitas conglomeráticas, limolitas y arcillolitas abigarradas. Al sur, arenitas tobáceas y diatomitas.",Mesiniano-Zancleano,,,5d56b804-f777-4dda-bb96-4dffff8cbb0b,8.03008999810118e-05,0.0473158601819492,no
22194,K2-Vm7,,"Basaltos toleíticos, y doleritas, picritas, tobas básicas y brechas volcánicas.",Cretácico Superior,Basaltos de Baudó,,2a04bf55-766a-4061-84e5-821e48a02eef,0.0784431251307183,3.01587164795957,yes
22195,n3n4-Sm,,"Lodolitas, algunas calcáreas y nodulares, intercaladas con lentes de calizas y esporádicamente capas de arenitas de grano fino a muy fino.",Langhiano-Serravaliano,,,acc5a5a6-9906-424f-9dd2-16e386f3a933,0.0141290450856104,0.772515543878173,no
22196,n3n4-Sm,,"Lodolitas, algunas calcáreas y nodulares, intercaladas con lentes de calizas y esporádicamente capas de arenitas de grano fino a muy fino.",Langhiano-Serravaliano,Formación Napipí,,16f4a6bc-c9b2-4f54-81a6-e27545f89006,0.0001503798311546,0.0653212470447215,no
22197,e8n2-Sm,,"Calizas, arenitas y lodolitas calcáreas.",Rupeliano-Burdigaliano,,,aeca8afc-23dc-4e2a-ac12-f3b993e3eced,0.0277749113793675,1.25275589140062,no
22198,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,61e251b6-93b2-4e80-baa3-d6246d247d16,0.0001061002705,0.059274835923831,no
22201,E1E2-VCm,,"Basaltos; brechas; aglomerados y tobas intercalados con cherts; limolitas; lodolitas calcáreas, y calizas.",Paleoceno-Eoceno,Complejo Santa Cecilia-La Equis,,3ad2303d-b2e9-4dbc-be49-d7dfb54bfcfd,0.0094216121555632,0.735070875703327,yes
22202,Q-al,,Depósitos aluviales y de llanuras aluviales,Cuaternario,,,5e0db8c6-6029-440b-aab4-b13668556695,0.0004862897001487,0.19445586323203,no
22203,k2k6-Sm7,,"Lodolitas; arenitas lodosas y arenitas líticas; cherts; calizas; tobas, y aglomerados. Localmente cataclasitas.",Turoniano-Maastrichtiano,,,8aa6182a-6e2e-4907-a9c9-7242dd37f4ac,0.002419706626938,0.322578885988702,no
